,words,Corrected_IOB2_Labels
41024,Code,O
41025,:,O
41026,30077,O
41027,),O
41028,Critical,O
41029,low,O
41030,battery,O
41031,.,O
41032,Return,B-ACTION
41033,to,O
41034,home,O
41035,or,O
41036,land,O
41037,promptly,O
41038,Critical,O
41039,low,O
41040,battery,O
41041,.,O
41042,Unable,O
41043,to,O
41044,take,O
41045,off,O
41046,.,O
41047,Recharge,B-ACTION
41048,promptly,O
41049,(,O
41050,Code,O
41051,:,O
41052,30032,O
41053,),O
41054,Current,B-PARAMETER
41055,elevation,O
41056,above,O
41057,nnn,O
41058,.,O
41059,Fly,B-ACTION
41060,with,O
41061,caution,O
41062,(,O
41063,Code,O
41064,:,O
41065,30152,O
41066,),O
41067,Data,B-PARAMETER
41068,Recorder,B-COMPONENT
41069,File,O
41070,Index,O
41071,is,O
41072,nnn,O
41073,"""",O
41074,Detected,O
41075,side,O
41076,/,O
41077,backward,O
41078,/,O
41079,forward,O
41080,shock,O
41081,/,O
41082,possible,O
41083,collision,O
41084,",",O
41085,aircraft,O
41086,is,O
41087,pitching,O
41088,/,O
41089,rolling,O
41090,sharply,O
41091,forward,O
41092,/,O
41093,backwards,O
41094,/,O
41095,left,O
41096,/,O
41097,right,O
41098,"""",O
41099,Downlink,B-COMPONENT
41100,data,O
41101,connection,O
41102,lost,O
41103,for,O
41104,nnn,O
41105,seconds,O
41106,Downward,O
41107,vision,O
41108,sensor,O
41109,error,O
41110,.,O
41111,Contact,B-ACTION
41112,DJI,B-PARAMETER
41113,Support,B-FUNCTION
41114,for,O
41115,assistance,O
41116,(,O
41117,Code,O
41118,:,O
41119,180016,O
41120,),O
41121,Excessive,O
41122,gimbal,O
41123,vibration,O
41124,.,O
41125,Check,B-ACTION
41126,whether,O
41127,gimbal,O
41128,can,O
41129,rotate,O
41130,freely,O
41131,(,O
41132,Code,O
41133,:,O
41134,40004,O
41135,),O
41136,Exiting,B-ACTION
41137,GPS,O
41138,mode,O
41139,:,O
41140,Unknown,B-STATE
41141,Error,B-ISSUE
41142,Extra,B-PARAMETER
41143,payload,B-COMPONENT
41144,detected,O
41145,.,O
41146,Max,O
41147,altitude,O
41148,set,O
41149,to,O
41150,nnn,O
41151,and,O
41152,max,O
41153,distance,O
41154,set,O
41155,to,O
41156,nnn,O
41157,to,O
41158,ensure,O
41159,flight,O
41160,safety,O
41161,(,O
41162,Code,O
41163,:,O
41164,30232,O
41165,),O
41166,Extra,B-PARAMETER
41167,payload,B-COMPONENT
41168,detected,O
41169,.,O
41170,Return,B-ACTION
41171,aircraft,O
41172,to,O
41173,an,O
41174,area,B-STATE
41175,nearby,O
41176,the,O
41177,home,O
41178,point,B-STATE
41179,promptly,O
41180,and,O
41181,fly,O
41182,in,O
41183,a,O
41184,wind,O
41185,-,O
41186,free,B-STATE
41187,environment,I-STATE
41188,to,O
41189,ensure,O
41190,flight,O
41191,safety,O
41192,(,O
41193,Code,O
41194,:,O
41195,30231,O
41196,),O
41197,Extra,B-PARAMETER
41198,payload,B-COMPONENT
41199,detected,O
41200,.,O
41201,Return,B-ACTION
41202,aircraft,O
41203,to,O
41204,an,O
41205,area,B-STATE
41206,nearby,O
41207,the,O
41208,home,O
41209,point,B-STATE
41210,promptly,O
41211,and,O
41212,fly,O
41213,in,O
41214,a,O
41215,wind,O
41216,-,O
41217,free,B-STATE
41218,environment,I-STATE
41219,to,O
41220,ensure,O
41221,flight,O
41222,safety,O
41223,(,O
41224,Code,O
41225,:,O
41226,30232,O
41227,),O
41228,Extra,B-PARAMETER
41229,payload,B-COMPONENT
41230,detected,O
41231,.,O
41232,Return,B-ACTION
41233,the,O
41234,aircraft,O
41235,to,O
41236,an,O
41237,area,B-STATE
41238,nearby,O
41239,the,O
41240,home,O
41241,point,B-STATE
41242,promptly,O
41243,to,O
41244,ensure,O
41245,flight,O
41246,safety,O
41247,(,O
41248,Code,O
41249,:,O
41250,30231,O
41251,),O
41252,File,O
41253,system,O
41254,error,O
41255,.,O
41256,Change,B-ACTION
41257,SD,B-PARAMETER
41258,card,O
41259,(,O
41260,Code,O
41261,:,O
41262,10025,O
41263,),O
41264,Flight,B-ACTION
41265,altitude,O
41266,exceeds,O
41267,nnn,O
41268,.,O
41269,Aircraft,O
41270,may,O
41271,be,O
41272,in,O
41273,violation,O
41274,of,O
41275,local,O
41276,laws,B-ISSUE
41277,and,O
41278,regulations,B-ISSUE
41279,.,O
41280,Check,B-ACTION
41281,and,O
41282,make,O
41283,sure,O
41284,you,O
41285,have,O
41286,obtained,O
41287,proper,O
41288,authorization,O
41289,to,O
41290,fly,O
41291,in,O
41292,this,O
41293,airspace,B-COMPONENT
41294,(,O
41295,Code,O
41296,:,O
41297,3000006,O
41298,),O
41299,Gimbal,B-COMPONENT
41300,calibrating,I-COMPONENT
41301,(,O
41302,Code,O
41303,:,O
41304,30217,O
41305,),O
41306,Gimbal,B-COMPONENT
41307,calibration,O
41308,error,O
41309,.,O
41310,Restart,B-ACTION
41311,aircraft,O
41312,or,O
41313,contact,O
41314,DJI,B-PARAMETER
41315,Support,B-FUNCTION
41316,if,O
41317,the,O
41318,issue,O
41319,persists,O
41320,(,O
41321,Code,O
41322,:,O
41323,40011,O
41324,),O
41325,Gimbal,B-COMPONENT
41326,IMU,B-PARAMETER
41327,data,O
41328,error,O
41329,.,O
41330,Contact,B-ACTION
41331,DJI,B-PARAMETER
41332,Support,B-FUNCTION
41333,for,O
41334,assistance,O
41335,(,O
41336,Code,O
41337,:,O
41338,40021,O
41339,),O
41340,Gimbal,B-COMPONENT
41341,motor,O
41342,overloaded,B-STATE
41343,.,O
41344,Check,B-ACTION
41345,whether,O
41346,gimbal,O
41347,can,O
41348,rotate,O
41349,freely,O
41350,(,O
41351,Code,O
41352,:,O
41353,40003,O
41354,),O
41355,Gimbal,B-COMPONENT
41356,stuck,B-STATE
41357,.,O
41358,Check,B-ACTION
41359,whether,O
41360,gimbal,O
41361,lock,B-STATE
41362,is,O
41363,removed,B-ACTION
41364,and,O
41365,ensure,O
41366,gimbal,O
41367,can,O
41368,rotate,O
41369,freely,O
41370,(,O
41371,Code,O
41372,:,O
41373,40002,O
41374,),O
41375,GPS,O
41376,signal,O
41377,low,O
41378,.,O
41379,Aircraft,O
41380,unable,O
41381,to,O
41382,auto,O
41383,hover,O
41384,and,O
41385,takeoff,O
41386,restricted,O
41387,.,O
41388,Move,B-ACTION
41389,to,O
41390,environment,B-STATE
41391,with,O
41392,adequate,B-STATE
41393,light,B-PARAMETER
41394,.,O
41395,Unlocking,B-ACTION
41396,takeoff,O
41397,restrictions,B-PARAMETER
41398,not,O
41399,recommended,B-STATE
41400,(,O
41401,Code,O
41402,:,O
41403,30239,O
41404,),O
41405,GPS,O
41406,signal,O
41407,weak,O
41408,.,O
41409,Fly,B-ACTION
41410,with,O
41411,caution,O
41412,.,O
41413,Aircraft,O
41414,in,O
41415,Altitude,B-PARAMETER
41416,Zone,B-COMPONENT
41417,.,O
41418,Max,O
41419,altitude,O
41420,set,O
41421,to,O
41422,nnn,O
41423,(,O
41424,Code,O
41425,:,O
41426,30014,O
41427,),O
41428,GPS,O
41429,signal,O
41430,weak,O
41431,.,O
41432,Hovering,B-ISSUE
41433,unstable,B-STATE
41434,.,O
41435,Fly,B-ACTION
41436,with,O
41437,caution,O
41438,(,O
41439,Code,O
41440,:,O
41441,30002,O
41442,),O
41443,GPS,O
41444,signal,O
41445,weak,O
41446,.,O
41447,Positioning,B-ACTION
41448,accuracy,B-PARAMETER
41449,affected,O
41450,.,O
41451,Fly,B-ACTION
41452,with,O
41453,caution,O
41454,(,O
41455,Code,O
41456,:,O
41457,30049,O
41458,),O
41459,Gyroscope,B-PARAMETER
41460,initialization,O
41461,failed,O
41462,.,O
41463,Restart,B-ACTION
41464,aircraft,O
41465,(,O
41466,Code,O
41467,:,O
41468,30045,O
41469,),O
41470,High,O
41471,altitude,O
41472,.,O
41473,Aircraft,O
41474,braking,B-ACTION
41475,distance,O
41476,increased,B-STATE
41477,and,O
41478,flight,O
41479,time,B-STATE
41480,decreased,O
41481,.,O
41482,Fly,B-ACTION
41483,with,O
41484,caution,O
41485,(,O
41486,Code,O
41487,:,O
41488,30238,O
41489,),O
41490,Home,B-COMPONENT
41491,Point,B-STATE
41492,updated,B-ACTION
41493,.,O
41494,RTH,B-STATE
41495,altitude,O
41496,adjusted,B-ACTION
41497,to,O
41498,nnn,O
41499,(,O
41500,Code,O
41501,:,O
41502,120852,O
41503,),O
41504,Home,B-COMPONENT
41505,Point,B-STATE
41506,updated,B-ACTION
41507,.,O
41508,RTH,B-STATE
41509,altitude,O
41510,adjusted,B-ACTION
41511,to,O
41512,nnn,O
41513,(,O
41514,Code,O
41515,:,O
41516,3000001,O
41517,),O
41518,Homepoint,B-COMPONENT
41519,updated,B-ACTION
41520,Homepoint,B-COMPONENT
41521,updated,B-ACTION
41522,.,O
41523,RTH,B-STATE
41524,altitude,O
41525,adjusted,B-ACTION
41526,to,O
41527,nnn,O
41528,(,O
41529,Code,O
41530,:,O
41531,3000001,O
41532,),O
41533,IMU,B-PARAMETER
41534,attitude,O
41535,restricted,O
41536,.,O
41537,Ensure,B-ACTION
41538,aircraft,O
41539,is,O
41540,level,O
41541,(,O
41542,Code,O
41543,:,O
41544,30082,O
41545,),O
41546,IMU,B-PARAMETER
41547,calibration,O
41548,required,B-ACTION
41549,.,O
41550,Calibrate,B-ACTION
41551,IMU,B-PARAMETER
41552,(,O
41553,Code,O
41554,:,O
41555,30050,O
41556,),O
41557,Insufficient,B-PARAMETER
41558,SD,I-PARAMETER
41559,card,O
41560,space,B-COMPONENT
41561,.,O
41562,Change,B-ACTION
41563,card,O
41564,or,O
41565,delete,B-ACTION
41566,files,B-COMPONENT
41567,(,O
41568,Code,O
41569,:,O
41570,10035,O
41571,),O
41572,Lighting,B-COMPONENT
41573,environment,B-STATE
41574,too,O
41575,dark,B-STATE
41576,.,O
41577,Vision,B-COMPONENT
41578,System,I-COMPONENT
41579,unavailable,O
41580,.,O
41581,Fly,B-ACTION
41582,with,O
41583,caution,O
41584,(,O
41585,Code,O
41586,:,O
41587,180037,O
41588,),O
41589,Lighting,B-COMPONENT
41590,environment,B-STATE
41591,too,O
41592,dark,B-STATE
41593,.,O
41594,Visual,B-COMPONENT
41595,positioning,B-ACTION
41596,inaccurate,B-ISSUE
41597,.,O
41598,Fly,B-ACTION
41599,with,O
41600,caution,O
41601,(,O
41602,Code,O
41603,:,O
41604,180032,O
41605,),O
41606,Low,O
41607,battery,O
41608,voltage,O
41609,.,O
41610,Fly,B-ACTION
41611,with,O
41612,caution,O
41613,(,O
41614,Code,O
41615,:,O
41616,110011,O
41617,),O
41618,Low,O
41619,battery,O
41620,.,O
41621,Return,B-ACTION
41622,to,O
41623,home,O
41624,promptly,O
41625,(,O
41626,Code,O
41627,:,O
41628,120732,O
41629,),O
41630,Low,O
41631,battery,O
41632,.,O
41633,Return,B-ACTION
41634,to,O
41635,home,O
41636,promptly,O
41637,(,O
41638,Code,O
41639,:,O
41640,30183,O
41641,),O
41642,Max,O
41643,altitude,O
41644,reached,O
41645,(,O
41646,Altitude,B-PARAMETER
41647,limit,O
41648,:,O
41649,nnn,O
41650,),O
41651,(,O
41652,Code,O
41653,:,O
41654,20000001,O
41655,),O
41656,Mobile,B-COMPONENT
41657,device,I-COMPONENT
41658,CPU,B-PARAMETER
41659,fully,O
41660,loaded,B-ACTION
41661,.,O
41662,Related,B-FUNCTION
41663,performance,O
41664,will,O
41665,be,O
41666,affected,O
41667,Motor,B-COMPONENT
41668,error,O
41669,.,O
41670,Check,B-ACTION
41671,propellers,O
41672,and,O
41673,fly,O
41674,with,O
41675,caution,O
41676,(,O
41677,Code,O
41678,:,O
41679,120652,O
41680,),O
41681,Motor,B-COMPONENT
41682,idle,B-STATE
41683,.,O
41684,Check,B-ACTION
41685,whether,O
41686,propellers,O
41687,are,O
41688,installed,B-ACTION
41689,(,O
41690,Code,O
41691,:,O
41692,30166,O
41693,),O
41694,Motor,B-COMPONENT
41695,is,O
41696,Blocked,B-ISSUE
41697,Motor,B-COMPONENT
41698,is,O
41699,Blocked,B-ISSUE
41700,.,O
41701,Motor,B-COMPONENT
41702,stuck,B-STATE
41703,.,O
41704,Check,B-ACTION
41705,for,O
41706,objects,O
41707,blocking,B-ACTION
41708,motor,O
41709,or,O
41710,contact,O
41711,DJI,B-PARAMETER
41712,Support,B-FUNCTION
41713,for,O
41714,assistance,O
41715,(,O
41716,Code,O
41717,:,O
41718,30165,O
41719,),O
41720,Motor,B-COMPONENT
41721,stuck,B-STATE
41722,.,O
41723,Check,B-ACTION
41724,for,O
41725,objects,O
41726,blocking,B-ACTION
41727,motor,O
41728,or,O
41729,contact,O
41730,DJI,B-PARAMETER
41731,Support,B-FUNCTION
41732,for,O
41733,assistance,O
41734,(,O
41735,Code,O
41736,:,O
41737,30165,O
41738,),O
41739,Motor,B-COMPONENT
41740,unable,O
41741,to,O
41742,rotate,O
41743,.,O
41744,Check,B-ACTION
41745,for,O
41746,objects,O
41747,blocking,B-ACTION
41748,motor,O
41749,or,O
41750,contact,O
41751,DJI,B-PARAMETER
41752,Support,B-FUNCTION
41753,for,O
41754,assistance,O
41755,(,O
41756,Code,O
41757,:,O
41758,30165,O
41759,),O
41760,Motor,B-COMPONENT
41761,unable,O
41762,to,O
41763,rotate,O
41764,.,O
41765,Check,B-ACTION
41766,motor,O
41767,(,O
41768,Code,O
41769,:,O
41770,30142,O
41771,),O
41772,No,O
41773,GPS,O
41774,signal,O
41775,.,O
41776,Aircraft,O
41777,unable,O
41778,to,O
41779,hover,O
41780,.,O
41781,Fly,B-ACTION
41782,with,O
41783,caution,O
41784,(,O
41785,Code,O
41786,:,O
41787,30008,O
41788,),O
41789,No,O
41790,GPS,O
41791,signal,O
41792,.,O
41793,Unable,O
41794,to,O
41795,hover,O
41796,.,O
41797,Fly,B-ACTION
41798,with,O
41799,caution,O
41800,(,O
41801,Code,O
41802,:,O
41803,30007,O
41804,),O
41805,No,O
41806,GPS,O
41807,.,O
41808,Return,B-ACTION
41809,to,O
41810,Home,B-COMPONENT
41811,failed,O
41812,.,O
41813,Return,B-ACTION
41814,the,O
41815,aircraft,O
41816,to,O
41817,home,O
41818,manually,O
41819,(,O
41820,Code,O
41821,:,O
41822,60016,O
41823,),O
41824,No,O
41825,SD,B-PARAMETER
41826,card,O
41827,.,O
41828,Insert,B-ACTION
41829,card,O
41830,(,O
41831,Code,O
41832,:,O
41833,10022,O
41834,),O
41835,Not,O
41836,Enough,B-ISSUE
41837,Force,B-PARAMETER
41838,/,O
41839,ESC,B-STATE
41840,Error,B-ISSUE
41841,Payload,B-COMPONENT
41842,mode,O
41843,enabled,B-STATE
41844,.,O
41845,Max,O
41846,altitude,O
41847,set,O
41848,to,O
41849,nnn,O
41850,and,O
41851,max,O
41852,distance,O
41853,set,O
41854,to,O
41855,nnn,O
41856,to,O
41857,ensure,O
41858,flight,O
41859,safety,O
41860,(,O
41861,Code,O
41862,:,O
41863,30230,O
41864,),O
41865,Payload,B-COMPONENT
41866,mode,O
41867,enabled,B-STATE
41868,.,O
41869,Max,O
41870,altitude,O
41871,set,O
41872,to,O
41873,nnn,O
41874,and,O
41875,max,O
41876,distance,O
41877,set,O
41878,to,O
41879,nnn,O
41880,.,O
41881,Fly,B-ACTION
41882,in,O
41883,a,O
41884,wind,O
41885,-,O
41886,free,B-STATE
41887,environment,I-STATE
41888,to,O
41889,ensure,O
41890,flight,O
41891,safety,O
41892,(,O
41893,Code,O
41894,:,O
41895,30230,O
41896,),O
41897,Payload,B-COMPONENT
41898,mode,O
41899,enabled,B-STATE
41900,.,O
41901,Max,O
41902,altitude,O
41903,set,O
41904,to,O
41905,nnn,O
41906,and,O
41907,max,O
41908,distance,O
41909,set,O
41910,to,O
41911,nnn,O
41912,.,O
41913,Fly,B-ACTION
41914,in,O
41915,a,O
41916,wind,O
41917,-,O
41918,free,B-STATE
41919,environment,I-STATE
41920,to,O
41921,ensure,O
41922,flight,O
41923,safety,O
41924,(,O
41925,Code,O
41926,:,O
41927,30232,O
41928,),O
41929,Payload,B-COMPONENT
41930,mode,O
41931,enabled,B-STATE
41932,.,O
41933,Return,B-ACTION
41934,the,O
41935,aircraft,O
41936,to,O
41937,an,O
41938,area,B-STATE
41939,nearby,O
41940,the,O
41941,home,O
41942,point,B-STATE
41943,promptly,O
41944,to,O
41945,ensure,O
41946,flight,O
41947,safety,O
41948,(,O
41949,Code,O
41950,:,O
41951,30229,O
41952,),O
41953,Propeller,B-COMPONENT
41954,Fell,B-ACTION
41955,Off,O
41956,Propeller,B-COMPONENT
41957,Fell,B-ACTION
41958,Off,O
41959,.,O
41960,Motor,B-COMPONENT
41961,idle,B-STATE
41962,.,O
41963,Check,B-ACTION
41964,whether,O
41965,propellers,O
41966,are,O
41967,installed,B-ACTION
41968,(,O
41969,Code,O
41970,:,O
41971,30166,O
41972,),O
41973,Propeller,B-COMPONENT
41974,rotating,B-STATE
41975,too,O
41976,fast,B-STATE
41977,.,O
41978,Wind,B-COMPONENT
41979,resistance,B-PARAMETER
41980,affected,O
41981,.,O
41982,Return,B-ACTION
41983,to,O
41984,home,O
41985,and,O
41986,land,O
41987,promptly,O
41988,.,O
41989,Check,B-ACTION
41990,whether,O
41991,propeller,B-COMPONENT
41992,on,O
41993,beeping,B-ISSUE
41994,ESC,B-STATE
41995,is,O
41996,warped,B-STATE
41997,or,O
41998,damaged,B-STATE
41999,(,O
42000,Code,O
42001,:,O
42002,30246,O
42003,),O
42004,Propellers,B-COMPONENT
42005,not,O
42006,installed,B-ACTION
42007,(,O
42008,Code,O
42009,:,O
42010,30144,O
42011,),O
42012,Recharge,B-ACTION
42013,promptly,O
42014,(,O
42015,Code,O
42016,:,O
42017,120732,O
42018,),O
42019,Remote,B-COMPONENT
42020,controller,O
42021,battery,O
42022,level,O
42023,low,O
42024,.,O
42025,Recharge,B-ACTION
42026,promptly,O
42027,(,O
42028,Code,O
42029,:,O
42030,60001,O
42031,),O
42032,Remote,B-COMPONENT
42033,controller,O
42034,disconnected,B-STATE
42035,from,O
42036,aircraft,O
42037,(,O
42038,Code,O
42039,:,O
42040,30029,O
42041,),O
42042,Remote,B-COMPONENT
42043,controller,O
42044,in,O
42045,high,O
42046,interference,O
42047,environment,B-STATE
42048,.,O
42049,Manually,O
42050,adjust,B-ACTION
42051,flight,O
42052,route,B-PARAMETER
42053,or,O
42054,return,O
42055,to,O
42056,home,O
42057,(,O
42058,Code,O
42059,:,O
42060,80014,O
42061,),O
42062,Remote,B-COMPONENT
42063,controller,O
42064,signal,O
42065,lost,O
42066,(,O
42067,Code,O
42068,:,O
42069,30029,O
42070,),O
42071,Remote,B-COMPONENT
42072,controller,O
42073,signal,O
42074,weak,O
42075,.,O
42076,Adjust,B-ACTION
42077,remote,O
42078,controller,O
42079,antennas,O
42080,(,O
42081,Code,O
42082,:,O
42083,80002,O
42084,),O
42085,RTH,B-STATE
42086,altitude,O
42087,adjusted,B-ACTION
42088,to,O
42089,nnn,O
42090,(,O
42091,Code,O
42092,:,O
42093,120852,O
42094,),O
42095,SD,B-PARAMETER
42096,card,O
42097,full,O
42098,.,O
42099,Change,B-ACTION
42100,card,O
42101,or,O
42102,delete,B-ACTION
42103,files,B-COMPONENT
42104,(,O
42105,Code,O
42106,:,O
42107,10027,O
42108,),O
42109,SD,B-PARAMETER
42110,card,O
42111,malfunction,B-ISSUE
42112,.,O
42113,Change,B-ACTION
42114,card,O
42115,(,O
42116,Code,O
42117,:,O
42118,10023,O
42119,),O
42120,SD,B-PARAMETER
42121,card,O
42122,speed,B-PARAMETER
42123,low,O
42124,.,O
42125,Change,B-ACTION
42126,card,O
42127,(,O
42128,Code,O
42129,:,O
42130,10028,O
42131,),O
42132,Setting,B-FUNCTION
42133,new,O
42134,Maximum,O
42135,Flight,B-ACTION
42136,Altitude,B-PARAMETER
42137,to,O
42138,nnn,O
42139,(,O
42140,nnn,O
42141,),O
42142,Setting,B-FUNCTION
42143,new,O
42144,Return,B-ACTION
42145,-,O
42146,To,O
42147,-,O
42148,Home,B-COMPONENT
42149,altitude,O
42150,to,O
42151,nnn,O
42152,(,O
42153,nnn,O
42154,),O
42155,Strong,B-STATE
42156,wind,O
42157,warning,B-ISSUE
42158,.,O
42159,Aircraft,O
42160,unable,O
42161,to,O
42162,return,O
42163,to,O
42164,home,O
42165,automatically,O
42166,.,O
42167,Lower,O
42168,altitude,O
42169,immediately,O
42170,and,O
42171,return,O
42172,to,O
42173,home,O
42174,manually,O
42175,(,O
42176,Code,O
42177,:,O
42178,120596,O
42179,),O
42180,Strong,B-STATE
42181,wind,O
42182,warning,B-ISSUE
42183,.,O
42184,Aircraft,O
42185,unable,O
42186,to,O
42187,return,O
42188,to,O
42189,home,O
42190,automatically,O
42191,.,O
42192,Lower,O
42193,altitude,O
42194,immediately,O
42195,and,O
42196,return,O
42197,to,O
42198,home,O
42199,manually,O
42200,(,O
42201,Code,O
42202,:,O
42203,30149,O
42204,),O
42205,Subject,B-PARAMETER
42206,lost,O
42207,.,O
42208,Reselect,B-ACTION
42209,subject,B-PARAMETER
42210,(,O
42211,Code,O
42212,:,O
42213,800018,O
42214,),O
42215,Unable,O
42216,to,O
42217,take,O
42218,off,O
42219,(,O
42220,Code,O
42221,:,O
42222,30064,O
42223,),O
42224,Unable,O
42225,to,O
42226,take,O
42227,off,O
42228,in,O
42229,low,O
42230,light,B-PARAMETER
42231,environment,B-STATE
42232,.,O
42233,Ensure,B-ACTION
42234,there,O
42235,are,O
42236,no,O
42237,metal,O
42238,and,O
42239,magnetic,O
42240,objects,O
42241,near,O
42242,the,O
42243,aircraft,O
42244,and,O
42245,calibrate,O
42246,compass,O
42247,(,O
42248,Code,O
42249,:,O
42250,30096,O
42251,),O
42252,Vision,B-COMPONENT
42253,sensor,O
42254,error,O
42255,.,O
42256,Contact,B-ACTION
42257,DJI,B-PARAMETER
42258,Support,B-FUNCTION
42259,for,O
42260,assistance,O
42261,(,O
42262,Code,O
42263,:,O
42264,180030,O
42265,),O
42266,Vision,B-COMPONENT
42267,sensor,O
42268,error,O
42269,.,O
42270,Contact,B-ACTION
42271,DJI,B-PARAMETER
42272,Support,B-FUNCTION
42273,for,O
42274,assistance,O
42275,(,O
42276,Code,O
42277,:,O
42278,180031,O
42279,),O
42280,Visual,B-COMPONENT
42281,positioning,B-ACTION
42282,inaccurate,B-ISSUE
42283,.,O
42284,Fly,B-ACTION
42285,with,O
42286,caution,O
42287,(,O
42288,Code,O
42289,:,O
42290,180032,O
42291,),O
42292,Weak,O
42293,signal,O
42294,.,O
42295,Adjust,B-ACTION
42296,antennas,O
42297,(,O
42298,Code,O
42299,:,O
42300,80016,O
42301,),O
42302,Weak,O
42303,signal,O
42304,.,O
42305,Make,O
42306,sure,O
42307,the,O
42308,remote,O
42309,controller,O
42310,is,O
42311,facing,B-ACTION
42312,aircraft,O
42313,and,O
42314,avoid,B-ACTION
42315,blocking,I-ACTION
42316,the,O
42317,signal,O
42318,(,O
42319,Code,O
42320,:,O
42321,80016,O
42322,),O
42323,Aircraft,O
42324,is,O
42325,returning,O
42326,to,O
42327,the,O
42328,Home,B-COMPONENT
42329,Point,B-STATE
42330,.,O
42331,Minimum,B-STATE
42332,RTH,I-STATE
42333,Altitude,B-PARAMETER
42334,is,O
42335,nnn,O
42336,.,O
42337,You,O
42338,can,O
42339,reset,B-ACTION
42340,the,O
42341,RTH,B-STATE
42342,Altitude,B-PARAMETER
42343,in,O
42344,Remote,B-COMPONENT
42345,Controller,I-COMPONENT
42346,Settings,I-COMPONENT
42347,after,O
42348,cancelling,B-ACTION
42349,RTH,B-STATE
42350,if,O
42351,necessary,O
42352,Compass,B-COMPONENT
42353,Error,B-ISSUE
42354,Data,B-PARAMETER
42355,Recorder,B-COMPONENT
42356,File,O
42357,Index,O
42358,is,O
42359,nnn,O
42360,"""",O
42361,Detected,O
42362,side,O
42363,/,O
42364,backward,O
42365,/,O
42366,forward,O
42367,shock,O
42368,/,O
42369,possible,O
42370,collision,O
42371,",",O
42372,aircraft,O
42373,is,O
42374,pitching,O
42375,/,O
42376,rolling,O
42377,sharply,O
42378,forward,O
42379,/,O
42380,backwards,O
42381,/,O
42382,left,O
42383,/,O
42384,right,O
42385,"""",O
42386,Downlink,B-COMPONENT
42387,data,O
42388,connection,O
42389,lost,O
42390,for,O
42391,nnn,O
42392,seconds,O
42393,GEO,B-STATE
42394,:,O
42395,You,O
42396,are,O
42397,in,O
42398,a,O
42399,Warning,B-ISSUE
42400,Zone,B-COMPONENT
42401,(,O
42402,Airport,O
42403,Class,B-PARAMETER
42404,Airspace,B-COMPONENT
42405,Unpaved,B-STATE
42406,Airports,O
42407,Power,B-PARAMETER
42408,Plant,B-COMPONENT
42409,),O
42410,.,O
42411,Fly,B-ACTION
42412,with,O
42413,caution,O
42414,Motor,B-COMPONENT
42415,is,O
42416,Blocked,B-ISSUE
42417,Not,O
42418,Enough,B-ISSUE
42419,Force,B-PARAMETER
42420,/,O
42421,ESC,B-STATE
42422,Error,B-ISSUE
42423,Propeller,B-COMPONENT
42424,Fell,B-ACTION
42425,Off,O
42426,Setting,B-FUNCTION
42427,new,O
42428,Maximum,O
42429,Flight,B-ACTION
42430,Altitude,B-PARAMETER
42431,to,O
42432,nnn,O
42433,(,O
42434,nnn,O
42435,),O
42436,Setting,B-FUNCTION
42437,new,O
42438,Return,B-ACTION
42439,-,O
42440,To,O
42441,-,O
42442,Home,B-COMPONENT
42443,altitude,O
42444,to,O
42445,nnn,O
42446,(,O
42447,nnn,O
42448,),O
42449,The,O
42450,remaining,B-STATE
42451,battery,O
42452,is,O
42453,only,O
42454,enough,B-ISSUE
42455,for,O
42456,RTH,B-STATE
42457,.,O
42458,Return,B-ACTION
42459,home,O
42460,now,O
42461,AE,O
42462,Locked,B-STATE
42463,.,O
42464,Metering,B-ACTION
42465,disabled,O
42466,"""",O
42467,Aircraft,O
42468,is,O
42469,in,O
42470,Attitude,B-PARAMETER
42471,mode,O
42472,",",O
42473,so,O
42474,that,O
42475,it,O
42476,will,O
42477,not,O
42478,hover,O
42479,.,O
42480,Please,O
42481,fly,O
42482,with,O
42483,caution,O
42484,"""",O
42485,Arrived,B-ACTION
42486,at,O
42487,End,B-FUNCTION
42488,Point,B-STATE
42489,At,O
42490,least,B-STATE
42491,two,O
42492,Waypoints,B-COMPONENT
42493,are,O
42494,needed,B-ACTION
42495,Battery,B-COMPONENT
42496,temperature,O
42497,is,O
42498,below,O
42499,15,O
42500,degrees,B-PARAMETER
42501,Celsius,I-PARAMETER
42502,.,O
42503,Warm,B-STATE
42504,up,O
42505,the,O
42506,battery,O
42507,temperature,O
42508,to,O
42509,above,O
42510,25,O
42511,degree,B-PARAMETER
42512,Celsius,I-PARAMETER
42513,to,O
42514,ensure,O
42515,a,O
42516,safe,O
42517,flight,O
42518,Battery,B-COMPONENT
42519,:,O
42520,Battery,B-COMPONENT
42521,Error,B-ISSUE
42522,.,O
42523,Return,B-ACTION
42524,home,O
42525,and,O
42526,land,O
42527,soon,O
42528,.,O
42529,View,B-COMPONENT
42530,the,O
42531,checklist,O
42532,after,O
42533,landing,O
42534,Cancel,B-ACTION
42535,Landing,I-ACTION
42536,Failed,B-ISSUE
42537,Cancel,B-ACTION
42538,Return,I-ACTION
42539,-,O
42540,to,O
42541,-,O
42542,Home,B-COMPONENT
42543,Failed,B-ISSUE
42544,Compass,B-COMPONENT
42545,Error,B-ISSUE
42546,Compass,B-COMPONENT
42547,Error,B-ISSUE
42548,.,O
42549,Magnetic,O
42550,Filed,B-ACTION
42551,Interference,O
42552,.,O
42553,Exit,B-ACTION
42554,P,O
42555,-,O
